,код класса,наименование класса,НоменклатураНаименование,НоменклатураНаименованиеПолное,НоменклатураРодитель,НоменклатураВидНоменклатуры,id,Наименование,n_abb,abb,upper_case,special,eng_letters,nums,version,n_tokens,level_0,level_1,level_2,level_3,level_4
0,04.22.01.04.01,Амортизаторы транспортных средств,З/Ч а/м Камаз: Амортизатор кабины З/Ч а/м Камаз: Амортизатор кабины,З/Ч а/м Камаз: Амортизатор кабины,З/ЧАСТИ КАМАЗ,Материал,15053,З/Ч а/м Камаз: Амортизатор кабины,4,1,0,4,0,0,0,10,1,4,5,8,42
1,04.22.01.04.01,Амортизаторы транспортных средств,З/Ч а/м Камаз: Амортизатор основн. З/Ч а/м Камаз: Амортизатор основн.,З/Ч а/м Камаз: Амортизатор основн.,З/ЧАСТИ КАМАЗ,Материал,15054,З/Ч а/м Камаз: Амортизатор основн.,4,1,0,4,0,0,0,10,1,4,5,8,42
2,05.19.03,Товары канцелярские,авторучка авторучка,авторучка,канцелярские товары,Материал,8093,авторучка,0,0,0,0,0,0,0,2,2,9,15,20,79
3,05.19.03,Товары канцелярские,Авторучка с логотипом Авторучка с логотипом,Авторучка с логотипом,Товары канцелярские,Прочие материалы (б/сч 10.06),40612,Авторучка с логотипом,0,0,0,0,0,0,0,6,2,9,15,20,79
4,05.19.03,Товары канцелярские,Альбом д/рисования 12л. Альбом д/рисования 12л.,Альбом д/рисования 12л.,Канц. товары,Канц. товары,128291,Альбом д/рисования 12л.,2,1,0,2,0,1,1,6,2,9,15,20,79
5,05.19.03,Товары канцелярские,Альбом для рисования Альбом для рисования,Альбом для рисования,Товары канцелярские,Прочие материалы (б/сч 10.06),2322,Альбом для рисования,0,0,0,0,0,0,0,6,2,9,15,20,79
6,05.19.03,Товары канцелярские,антистеплер антистеплер,антистеплер,Канцтовары,Материал,74757,антистеплер,0,0,0,0,0,0,0,2,2,9,15,20,79
7,03.11.02.04,Мониторы,ЖК монитор 17 ЖК монитор 17,ЖК монитор 17,ВИДЕОНАБЛЮДЕНИЕ,Материал,67,ЖК монитор 17,0,0,2,0,0,1,0,6,0,0,1,1,1
8,04.22.01.04.01,Амортизаторы транспортных средств,З/Ч а/м Камаз: Амортизатор сидения З/Ч а/м Камаз: Амортизатор сидения,З/Ч а/м Камаз: Амортизатор сидения,З/ЧАСТИ КАМАЗ,Материал,15055,З/Ч а/м Камаз: Амортизатор сидения,4,1,0,4,0,0,0,10,1,4,5,8,42
9,04.22.01.04.01,Амортизаторы транспортных средств,Амортизатор 300/460 КАМАЗ (ГЗАА) 4310-2905006-01 Амортизатор 300/460 КАМАЗ (ГЗАА) 4310-2905006-01,Амортизатор 300/460 КАМАЗ (ГЗАА) 4310-2905006-01,ЛВ КАМАЗ,Запчасти,107904,Амортизатор 300/460 КАМАЗ (ГЗАА) 4310-2905006-01,0,0,4,10,0,1,1,10,1,4,5,8,42
10,04.22.01.04.01,Амортизаторы транспортных средств,Амортизатор 325/500(ОАО БААЗ) А1-325/500-2905006-01 Амортизатор 325/500(ОАО БААЗ) А1-325/500-2905006-01,Амортизатор 325/500(ОАО БААЗ) А1-325/500-2905006-01,ЛВ КАМАЗ,Запчасти,109504,Амортизатор 325/500(ОАО БААЗ) А1-325/500-2905006-01,0,0,4,14,0,1,1,8,1,4,5,8,42
11,04.22.01.04.01,Амортизаторы транспортных средств,Амортизатор кабины КамАЗ 11-2905005-53(ГЗАА)20-5001010 Амортизатор кабины КамАЗ 11-2905005-53(ГЗАА)20-5001010,Амортизатор кабины КамАЗ 11-2905005-53(ГЗАА)20-5001010,ЛВ КАМАЗ,Запчасти,109541,Амортизатор кабины КамАЗ 11-2905005-53(ГЗАА)20-5001010,0,0,4,10,0,1,1,8,1,4,5,8,42
12,04.22.01.04.01,Амортизаторы транспортных средств,Амортизатор осн. пер. подв.(Гродно) 4310-2905006-01 Амортизатор осн. пер. подв.(Гродно) 4310-2905006-01,Амортизатор осн. пер. подв.(Гродно) 4310-2905006-01,ЛВ КАМАЗ,Запчасти,111181,Амортизатор осн. пер. подв.(Гродно) 4310-2905006-01,0,0,0,8,0,1,1,10,1,4,5,8,42
13,04.22.01.02.03,Барабаны транспортных средств,З/Ч  Газ-53: Барабан стояночного тормоза З/Ч  Газ-53: Барабан стояночного тормоза,З/Ч  Газ-53: Барабан стояночного тормоза,З/ЧАСТИ Газ-53,Материал,103,З/Ч  Газ-53: Барабан стояночного тормоза,2,1,0,4,0,1,1,12,1,4,5,6,6
14,04.22.01.04.03,Барабаны транспортных средств,З/Ч а/м Камаз: Барабан тормозной З/Ч а/м Камаз: Барабан тормозной,З/Ч а/м Камаз: Барабан тормозной,З/ЧАСТИ КАМАЗ,Материал,15058,З/Ч а/м Камаз: Барабан тормозной,4,1,0,4,0,0,0,10,1,4,5,8,43
15,04.22.01.04.04,Бачки транспортных средств,З/Ч а/м Камаз: Бачок  ГЦС З/Ч а/м Камаз: Бачок  ГЦС,З/Ч а/м Камаз: Бачок  ГЦС,З/ЧАСТИ КАМАЗ,Материал,15059,З/Ч а/м Камаз: Бачок  ГЦС,4,1,2,4,0,0,0,12,1,4,5,8,44
16,04.22.01.04.04,Бачки транспортных средств,З/Ч а/м Камаз: Бачок расширительный З/Ч а/м Камаз: Бачок расширительный,З/Ч а/м Камаз: Бачок расширительный,З/ЧАСТИ КАМАЗ,Материал,15060,З/Ч а/м Камаз: Бачок расширительный,4,1,0,4,0,0,0,10,1,4,5,8,44
17,04.22.01.04.04,Бачки транспортных средств,Бачок омывателя КАМАЗ 1112-5208000 Бачок омывателя КАМАЗ 1112-5208000,Бачок омывателя КАМАЗ 1112-5208000,запчасти КАМАЗ,Запчасти,95698,Бачок омывателя КАМАЗ 1112-5208000,0,0,2,2,0,1,1,8,1,4,5,8,44
18,04.22.01.04.04,Бачки транспортных средств,Бачок расширительный 5320-1311010-30 Бачок расширительный 5320-1311010-30,Бачок расширительный 5320-1311010-30,запчасти КАМАЗ,Запчасти,95704,Бачок расширительный 5320-1311010-30,0,0,0,4,0,1,1,6,1,4,5,8,44
19,04.22.01.04.04,Бачки транспортных средств,Бачок расширительный КАМАЗ пластик (МАПРА)5320-1311010-30 Бачок расширительный КАМАЗ пластик (МАПРА)5320-1311010-30,Бачок расширительный КАМАЗ пластик (МАПРА)5320-1311010-30,ЛВ КАМАЗ,Запчасти,97381,Бачок расширительный КАМАЗ пластик (МАПРА)5320-1311010-30,0,0,4,8,0,1,1,10,1,4,5,8,44
20,05.19.03,Товары канцелярские,антистеплер антистеплер,антистеплер,Канц. товары,Канц. товары,133050,антистеплер,0,0,0,0,0,0,0,2,2,9,15,20,79
21,05.19.03,Товары канцелярские,Антистеплер черный Антистеплер черный,Антистеплер черный,Канц. товары,Канц. товары,133051,Антистеплер черный,0,0,0,0,0,0,0,4,2,9,15,20,79
22,05.19.04.06,Элементы питания,Батарейка DURACELL R6 Батарейка DURACELL R6,Батарейка DURACELL R6,25.9 Канцтовары (новый),Материал,102010,Батарейка DURACELL R6,0,0,2,0,1,1,1,6,2,9,16,21,80
23,05.19.04.06,Элементы питания,Батарейки ААА DURACELL Батарейки ААА DURACELL,Батарейки ААА DURACELL,25.9 Канцтовары (новый),Материал,89159,Батарейки ААА DURACELL,0,0,4,0,1,0,0,6,2,9,16,21,80
24,05.19.03,Товары канцелярские,бизнес -тетрадь бизнес -тетрадь,бизнес -тетрадь,Товары канцелярские,Прочие материалы (б/сч 10.06),5136,бизнес -тетрадь,0,0,0,2,0,0,0,4,2,9,15,20,79
25,06.04.03.02,Нутромеры,"Нутромер индикаторный НИ-35-50 0,01 Нутромер индикаторный НИ-35-50 0,01","Нутромер индикаторный НИ-35-50 0,01",ПРИБОРЫ,Материал,910,"Нутромер индикаторный НИ-35-50 0,01",0,0,2,4,0,1,1,8,3,12,27,51,110
26,05.19.03,Товары канцелярские,бизнес -тетрадь бизнес -тетрадь,бизнес -тетрадь,Товары канцелярские,Прочие материалы (б/сч 10.06),5138,бизнес -тетрадь,0,0,0,2,0,0,0,4,2,9,15,20,79
27,05.19.03,Товары канцелярские,бизнес -тетрадь бизнес -тетрадь,бизнес -тетрадь,Товары канцелярские,Прочие материалы (б/сч 10.06),5140,бизнес -тетрадь,0,0,0,2,0,0,0,4,2,9,15,20,79
